Column,Firmenname,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom
35,BayWa Ökoenergie GmbH,True,True,True,True
62,Bremer SolidarStrom,True,,True,True
37,BS ENERGY Braunschweiger Versorgungs-AG & Co. KG,True,True,,True
38,Bürgerinitiative Umweltschutz e.V.,True,True,,True
39,Bürgerwerke eG,True,True,True,True
5,DB Energie,True,True,,
15,Die Heidelberger Solidarstromer,True,,,True
29,Die Schriesheimer Ökostromer,True,,,True
40,energieGUT GmbH,True,True,,
14,EVH Energieversorgung Halle GmbH,True,True,,
41,energy4u GmbH & Co. KG,True,True,,
6,Enspire Energie - Marke der Stadtwerke Konstanz,True,True,True,True
43,ENTEGA Energie GmbH,True,True,True,
45,EWS Elektrizitätswerke Schönau eG / EWS Vertriebs GmbH,True,True,True,True
46,Fair Trade Power Deutschland GmbH,True,True,True,
47,GENO Energie GmbH,True,True,,
48,Greenpeace Energy eG,True,True,True,True
23,Klimaschutz+ Energiegenossenschaft,True,,,True
16,LichtBlick,True,True,True,
17,MANN Naturenergie GmbH & Co. KG ,True,True,True,True
50,NATURSTROM AG/ NaturStromHandel GmbH,True,True,True,True
51,NN,,True,,
52,Nordstadtwerke GmbH,True,True,,
77,Ökostromer Edingen-Neckarhausen ,True,,True,True
0,123energie - Marke der Pfalzwerke,True,True,,
53,Polarstern Energie,True,True,True,True
54,ProEngeno GmbH und Co. KG,True,True,True,True
55,PROKON Regenerative Energien eG,True,True,True,True
30,Simply Green - Marke der ProSiebenSat.1 Digital,True,True,,
28,RhönEnergie Fulda,True,,,
83,Savero,,,,True
57,Stadtwerke Flensburg GmbH,True,True,,
58,Stadtwerke Müllheim Staufen GmbH,True,True,,True
59,Stadtwerke Münster GmbH,True,True,,
60,susiEnergie,True,True,,
61,wemio,True,True,,
