name,
17er Oberlandenergie GmbH,
Ahrtal-Werke GmbH,
BayWa r.e. renewable energy GmbH,
BayWa Ökoenergie GmbH,
Benergie-Service GmbH,
Berliner Stadtwerke GmbH,
Bürgerwerke eG,
Die Energievorsorger GmbH,
E-Regio GmbH & Co. KG,
E-Werk Stengle GmbH & Co. KG,
EAM GmbH & Co. KG,
EGF EnergieGesellschaft Frankenberg mbH,
EVD EnergieVersorgung Deutschland GmbH,
Einhorn-Energie GmbH & Co. KG,
Elektrizitätsgenossenschaft Karlstein eG,
Elektrizitätswerk Rieger GmbH & Co. KG,
Elektrizitätswerke Reutte AG,
Elektrizitätswerke Schönau Vertriebs GmbH,
Energie Sachsenheim GmbH & Co. KG,
Energie und Wasser Waldbröl GmbH,
Energie- und Wasserversorgung Kirchzarten GmbH,
Energiedienst AG,
Energiegenossenschaft Rhein-Ruhr eG,
Energiehandel Dresden GmbH,
Energieversorgung Kranenburg GmbH,
Energieversorgung Mainhardt Wüstenrot GmbH & Co KG,
Energieversorgung Michelfeld GmbH,
Energieversorgung Oberes Wiesental GmbH,
Energieversorgung Oberhausen Aktiengesellschaft,
Energieversorgung Offenbach AG (EVO),
Energieversorgung Rodau GmbH,
Energieversorgung Sylt GmbH,
Energieversorgung Titisee-Neustadt GmbH,
Energieversorgung Trossingen GmbH,
Energiewerk Ortenau Energiegesellschaft GmbH & Co. KG,
Enewa GmbH Energie + Wasser Wachtberg,
Enno Energie GmbH,
Erdgas Südwest GmbH,
ExtraEnergie GmbH,
Freisinger Stadtwerke Versorgungs-GmbH,
Friesenenergie GmbH,
Föhrer Windkraft GmbH & Co. KG,
Gas- und Wasserversorgung Höxter GmbH,
Gasversorgungsgesellschaft mbH Rhein-Erft,
Gebrüder Eirich GmbH,
Gemeindeverwaltung Steißlingen,
Gemeindewerke Gundelfingen GmbH,
Gemeindewerke Heikendorf GmbH,
Gemeindewerke Hermaringen GmbH,
Gemeindewerke Hünxe GmbH,
Gemeindewerke Kiefersfelden,
Gemeindewerke Schönkirchen GmbH,
Gemeindewerke Stammbach AöR,
Gemeindliche Werke Hengersberg,
Greenpeace Energy eG,
Grün.power GmbH,
Grünstromwerk Vertriebs GmbH,
HHLP-Energy GmbH,
Hamburg Energie GmbH,
Herzo Werke GmbH,
Innowatio GmbH,
Proefa GmbH,
Prokon Regenerative Energien eG,
Queichtal Energie Offenbach GmbH & Co. KG,
Rheinhessische Energie- und Wasserversorgungs-GmbH,
Rieger GmbH & Co. KG,
SE Sauber Energie GmbH & Co. KG,
STWB Stadtwerke Bamberg GmbH,
SWV Regional GmbH,
Schwarzwald Energy GmbH,
Siegener Versorgungsbetriebe GmbH,
Solargenossenschaft Rosenheim eG,
StadtWerke Rösrath - Energie GmbH,
Stadtwerk Rheda-Wiedenbrück GmbH & Co. KG,
Stadtwerke Andernach GmbH,
Stadtwerke Arnsberg GmbH,
Stadtwerke Bad Belzig GmbH,
Stadtwerke Bad Brückenau GmbH,
Stadtwerke Bad Herrenalb GmbH,
Stadtwerke Bad Hersfeld GmbH,
Stadtwerke Bad Saulgau,
Stadtwerke Barsinghausen GmbH,
Stadtwerke Castrop-Rauxel GmbH,
Stadtwerke Celle GmbH,
Stadtwerke Deidesheim GmbH,
Stadtwerke Delmenhorst GmbH,
Stadtwerke Konstanz GmbH,
Stadtwerke Landsberg KU,
Stadtwerke Lindau (B) GmbH & Co. KG,
Stadtwerke Loitz GmbH,
Stadtwerke Metzingen,
Stadtwerke Mosbach GmbH,
Stadtwerke MüllheimStaufen GmbH,
Stadtwerke Neuss GmbH,
Stadtwerke Neustadt a. d. Aisch GmbH,
Stadtwerke Neustadt an der Weinstraße GmbH,
Stadtwerke Olching GmbH,
Stadtwerke Oldenburg in Holstein GmbH,
Stadtwerke Pfaffenhofen a. d. Ilm,
Stadtwerke Rees GmbH,
Stadtwerke Reichenbach/Vogtland GmbH,
Stadtwerke Rottenburg am Neckar GmbH,
Stadtwerke Schwentinental GmbH,
Stadtwerke Soltau GmbH,
Stadtwerke Stuttgart Vertriebsgesellschaft mbH,
Stadtwerke Troisdorf GmbH,
Stadtwerke Waldkirch GmbH,
Stadtwerke Wesel GmbH,
Stadtwerke Wolfenbüttel GmbH,
Stadtwerke Zeil a. Main Energie am Fluss,
Stadtwerkenergie Ostwestfalen-Lippe GmbH,
Stiebel Eltron GmbH & Co. KG,
StromVersorgung Ruhpolding GmbH,
Stromversorgung Inzell eG,
Stromvertrieb Backnang GmbH & Co. KG,
SusiEnergie GmbH,
Team Energie GmbH & Co. KG,
Technische Werke Schussental GmbH & Co. KG,
Total Energie Gas GmbH,
WEV Warendorfer Energieversorgung GmbH,
Westfalica GmbH,
ener.my GmbH,
rhenag Rheinische Energie Aktiengesellschaft,
